"","Manuscript.Number","Author.Name","Article.Title","Article.Type","Current.Status","Status.Date","Initial.Date.Submitted","Review.Status","DOI","Short.Title","Keywords","Reviewers","Handling.Editor","Assigned.Editors","Country","is_China"
"1","PNMC-D-20-00001R1","Yi Li (CHINA)","Using composite phenotypes to reveal hidden physiological heterogeneity in high-altitude acclimatization in a Chinese Han longitudinal cohort","Article","Final Decision Accept","26 Oct 2020","18 Jul 2020","2 Complete; 0 Partial Review Saved; 1 Declined",NA,"","","Shaohua Fan, Ph.D ; Yixue Li ; Momiao Xiong ; Shaohua Fan, Ph.D * ; Yixue Li *","Sankari Gireesa","Chen Ding","CHINA","China"
"2","PNMC-D-20-00002R1","Qiurong Ding (CHINA)","In situ saturating mutagenesis screening identifies a functional genomic locus that regulates Ucp1 expression","Correspondence/Letter to the Editor","Final Decision Accept","02 Nov 2020","19 Aug 2020","3 Complete; 0 Partial Review Saved",NA,"","","Shangyu Hong ; Tiemin Liu ; Yan Zheng ; Shangyu Hong * ; Tiemin Liu * ; Yan Zheng *","Sankari Gireesa","Chen Ding","CHINA","China"
"3","PNMC-D-20-00003R2","Yafei Yuan (CHINA)","Effect of Light on Cognitive Function During a Stroop Task By Using Functional Near-Infrared Spectroscopy-based","Article","Final Decision Accept","07 Jan 2021","27 Aug 2020","2 Complete; 0 Partial Review Saved",NA,"","","Gert Mertes ; Haijing Niu ; Gert Mertes ; Haijing Niu ; He Wang ; Gert Mertes * ; He Wang *","Sankari Gireesa","Chen Ding","CHINA","China"
"4","PNMC-D-20-00004R1","Neelam R. Yadav (INDIA)","High-throughput phenotyping: a platform for accelerating crop improvement","Review","Final Decision Accept","02 Nov 2020","30 Aug 2020","2 Complete; 0 Partial Review Saved",NA,"","","Endashaw -- Bekele, Ph.D. ; Yingxiang Wang ; Endashaw -- Bekele, Ph.D. * ; Yingxiang Wang *","Sankari Gireesa","Chen Ding","INDIA","Overseas"
"5","PNMC-D-20-00005R3","dan chen (CHINA)","RNA-sequencing reveals gene expression and pathway signatures in umbilical cord blood affected by birth delivery mode","Article","Final Decision Accept","17 Nov 2022","15 Sep 2020","",NA,"","","Liping Feng ; Bing Zhao ; Liping Feng ; Bing Zhao","Sankari Gireesa","Chen Ding","CHINA","China"
"6","PNMC-D-20-00006R1","Gong Zhang (CHINA)","The ultrafast and accurate mapping algorithm FANSe3: mapping a human whole genome sequencing dataset within 30 minutes","Article","Final Decision Accept","10 Nov 2020","16 Oct 2020","2 Complete; 0 Partial Review Saved",NA,"","","Hongli Du ; Lei Zhang ; Hongli Du * ; Lei Zhang *","Sankari Gireesa","Chen Ding","CHINA","China"
"7","PNMC-D-20-00007","Guta Waktole Weyesa (ETHIOPIA)","ASSESMENT OF ETHNO-BOTANICAL MEDICINAL PLANTS USED BY PEOPLE OF SETEMA DISTRICT, JIMMA ZONE, SOUTH WEST ETHIOPIA","Article","Content Files Deleted - Forced to Withdrawn","27 Mar 2021","04 Dec 2020","",NA,"","","","","","ETHIOPIA","Overseas"
"8","PNMC-D-20-00008R3","xiaobo yang (CHINA)","Causal Relationship between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis","Article","Final Decision Accept","19 Aug 2021","25 Oct 2020","",NA,"","","Xingdong Chen ; Qiang Deng ; Xin Gao ; Xingdong Chen ; Xin Gao ; Xingdong Chen ; Xin Gao","Sankari Gireesa","Chen Ding","CHINA","China"
"9","PNMC-D-20-00009R6","Zhixin Tian (CHINA)","N-glycoproteomics study of putative drug resistance N-glycoprotein biomarkers in MCF-7/ADR cells","Article","Final Decision Accept","08 Oct 2021","05 Nov 2020","",NA,"","","Jennifer Hill ; Minjia Tan ; Mingliang Ye ; Jennifer Hill ; Minjia Tan ; Jennifer Hill ; Minjia Tan ; Haojie Lu ; Minjia Tan ; Haojie Lu ; Minjia Tan","Sankari Gireesa","Chen Ding","CHINA","China"
"10","PNMC-D-20-00010","Shaymaa W El-Far (SAUDI ARABIA)","Association of CAPN10 Haplotype Combinations with Type2Diabetes Mellitus and Metabolic Syndrome among Egyptians Pilot study: Genotyping of three CAPN10 variants","Article","Final Decision Reject","25 Dec 2020","14 Dec 2020","2 Complete; 0 Partial Review Saved; 1 Declined",NA,"","","Ying Yu * ; Yan Zheng *","Sankari Gireesa","Chen Ding","SAUDI ARABIA","Overseas"
"11","PNMC-D-20-00011R1","Shenghong Ju (CHINA)","Distribution atlas of COVID-19 pneumonia on computed tomography: a deep learning based description","Article","Final Decision Accept","07 Jan 2021","02 Dec 2020","2 Complete; 0 Partial Review Saved",NA,"","","Mei Tian ; Yi Wang ; Mei Tian * ; Yi Wang *","Sankari Gireesa","Chen Ding","CHINA","China"
"12","PNMC-D-20-00012","Kasim Roba Jilo (ETHIOPIA)","Identification and evaluation of Croton macrostachyus honeys‘antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis","Article","Final Decision Reject","25 Jan 2021","04 Jan 2021","",NA,"","","","Sankari Gireesa","Chen Ding","ETHIOPIA","Overseas"
"13","PNMC-D-20-00014R2","Bo Hong (CHINA)","Whole-exome sequencing identified phenotype modifier variants in a family with TGFBI-associated corneal dystrophy","Brief Communication","Final Decision Reject","01 Aug 2022","15 Dec 2020","2 Complete; 0 Partial Review Saved; 7 Declined",NA,"","","Yu An ; Feng Zhang ; Yu An ; Feng Zhang ; Lubica Dudakova * ; Tomasz Gambin *","Sankari Gireesa","Chen Ding","CHINA","China"
"14","PNMC-D-20-00015R1","Yingxiang Wang (CHINA)","Comparison of metabolic profiling of Arabidopsis inflorescences between Landsberg erecta and Columbia, and meiosis-defective mutants by 1H-NMR spectroscopy","Article","Final Decision Accept","10 Feb 2021","21 Dec 2020","2 Complete; 0 Partial Review Saved",NA,"","","Hongchang Gao ; Fangpu Han ; Hongchang Gao * ; Fangpu Han *","Sankari Gireesa","Chen Ding","CHINA","China"
"15","PNMC-D-20-00016","Kasim Roba Jilo (ETHIOPIA)","Identification and evaluation of Croton macrostachyus honeys‘antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis","Article","Final Decision Reject","25 Jan 2021","24 Dec 2020","2 Declined",NA,"","","","Sankari Gireesa","Chen Ding","ETHIOPIA","Overseas"
"16","PNMC-D-20-00017R2","Xun Gu (UNITED STATES)","Random Penetrance of Mutations among Individuals: a New Type of Genetic Drift in Molecular Evolution","Article","Final Decision Accept","12 Apr 2021","31 Dec 2020","",NA,"","","Yungang He ; Zhan Zhou ; Yungang He ; Zhan Zhou","Sankari Gireesa","Chen Ding","UNITED STATES","Overseas"
"17","PNMC-D-21-00001R3","jia Rao (CHINA)","Genetic architecture of childhood kidney and urological diseases in China","Article","Final Decision Accept","23 Apr 2021","08 Jan 2021","",NA,"","","Xingdong Chen ; Franz Schaefer ; Xiaofeng Wang ; Xingdong Chen ; Xiaofeng Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"18","PNMC-D-21-00002R5","Xin Gao (CHINA)","Prediction of metabolic disorders using NMR-based metabolomics: the Shanghai Changfeng Study","Article","Final Decision Accept","04 Aug 2021","09 Jan 2021","",NA,"","","Istvan Pelczer, Ph.D. ; Yulan Wang ; Istvan Pelczer, Ph.D. ; Yulan Wang ; Istvan Pelczer, Ph.D. ; Yulan Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"19","PNMC-D-21-00003R1","Hailiang Zhang (CHINA)","Reverse-phase protein arrays reveals clinical candidate protein biomarkers and prognosis-related proteins model in low grade glioma","Article","Under Review","20 Nov 2022","19 Jan 2021","1 Complete; 0 Partial Review Saved",NA,"","","Haineng Huang ; Yuhao Wu ; Haineng Huang *","Mei Tian","Mei Tian","CHINA","China"
"20","PNMC-D-21-00004R1","Wang-Rui Liu (CHINA)","Reverse-phase protein arrays reveals clinical candidate protein biomarkers and prognosis-related proteins model in glioblastoma　multiform","Article","Incomplete","21 Nov 2022","24 Jan 2021","",NA,"","","Shengnan Shi ; Dongmei Zhang","","","CHINA","China"
"21","PNMC-D-21-00005R3","Aijun Sun (CHINA)","Origin and spread of the ALDH2 Glu504Lys allele","Review","Final Decision Accept","19 May 2021","29 Jan 2021","",NA,"","","George Liu, PhD ; Heng Ma ; George Liu, PhD ; Heng Ma","Sankari Gireesa","Chen Ding ; Mei Tian","CHINA","China"
"22","PNMC-D-21-00006R2","Jose Arturo Molina-Mora (COSTA RICA)","Molecular determinants of antibiotic resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a multi-omics approach: a review of ten years of study","Review","Final Decision Accept","11 May 2021","26 Jan 2021","",NA,"","","Chen Suo ; Ying Yu ; Chen Suo ; Ying Yu","Sankari Gireesa","Chen Ding","COSTA RICA","Overseas"
"23","PNMC-D-21-00007R4","Andrea Rossi (GERMANY)","Beyond Mendelian inheritance: genetic buffering and phenotype variability","Review","Final Decision Accept","08 Oct 2021","05 Feb 2021","",NA,"","","Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni ; Shaohua Fan, Ph.D ; Ting Ni","Sankari Gireesa","Chen Ding","GERMANY","Overseas"
"24","PNMC-D-21-00008R4","Yi Lu (CHINA)","Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts","Article","Final Decision Accept","17 Dec 2021","09 Feb 2021","",NA,"","","Dawei Luo ; Panfeng Wang, Ph.D., M.D. ; Dawei Luo ; Mingxing Wu ; Dawei Luo ; Mingxing Wu","Sankari Gireesa","Chen Ding","CHINA","China"
"25","PNMC-D-21-00009R2","Chengyan Wang (CHINA)","Recommendation for Cardiac Magnetic Resonance Imaging-based Phenotypic Study: Imaging Part","Review","Final Decision Accept","25 May 2021","13 Feb 2021","",NA,"","","Wenjian Huang ; Shuo Wang ; Wenjian Huang ; Shuo Wang","Sankari Gireesa","Chen Ding","CHINA","China"
"26","PNMC-D-21-00010R2","Shanfeng Zhu (CHINA)","Computational methods for prediction of human protein-phenotype associations: a review","Review","Final Decision Accept","17 Jun 2021","23 Feb 2021","",NA,"","","Han Renmin ; Nan Shen ; Han Renmin ; Nan Shen","Sankari Gireesa","Chen Ding","CHINA","China"
"27","PNMC-D-21-00011","Subhashish Dey (INDIA)","Applications of solid waste biosorbents for removal of nitrates from contaminated water","Article","Final Decision Reject","16 Mar 2021","23 Feb 2021","",NA,"","","","Sankari Gireesa","Chen Ding","INDIA","Overseas"
"28","PNMC-D-21-00012","Kasim Roba Jilo (ETHIOPIA)","Identification and evaluation of Croton macrostachyus honeys ‘antimicrobial sources from its nectar and pollen against Escherichia coli, Shigella boydii, Staphylococcus aureus and Bacillus subtilis","Article","Final Decision Reject","16 Mar 2021","22 Feb 2021","",NA,"","","","Sankari Gireesa","Chen Ding","ETHIOPIA","Overseas"
"29","PNMC-D-21-00013R4","jing wang (CHINA)","Mapping Cell Phenomics with Multiparametric Flow Cytometry Assay","Review","Final Decision Accept","13 Oct 2021","07 Apr 2021","",NA,"","","Feng Qian ; Pengyuan Yang ; Feng Qian ; Pengyuan Yang","Sankari Gireesa","Chen Ding","CHINA","China"
