title	type	time	access	citation	altmetric	correspond_authors	update_time
International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer’s Disease	Article	2022-08-26	58	0	0	Mei Tian, Chuantao Zuo, Hong Zhang	2022-08-31
Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program	Article	2022-08-18	136	0	1	Shouling Wu, An Pan	2022-08-31
Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy	Article	2022-08-16	149	0	1	Xiao-Yong Zhang, Min Wu	2022-08-31
Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks	Article	2022-08-13	255	0	2	Yong Wang	2022-08-31
Report on the 3rd Board Meeting of the International Human Phenome Consortium	Meeting Report	2022-06-22	740	0	1	Mei Tian, Li Jin	2022-08-31
Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	Article	2022-06-22	378	0	1	Sijia Wang, Guangtao Zhai	2022-08-31
Mitochondria as the Essence of Yang Qi in the Human Body	Review	2022-06-16	783	0	1	Junjie Luo, Zhenglong Gu	2022-08-31
Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species	Article	2022-06-15	481	0	1	Manoel Teixeira Souza Júnior	2022-08-31
Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese	Article	2022-06-14	453	0	1	Rong Zeng, Liang Sun, Xu Lin	2022-08-31
Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing	Article	2022-06-11	655	0	1	Libing Shen, Yihua Sun, Yang Zhang	2022-08-31
Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach	Article	2022-06-07	476	2	1	Jose Arturo Molina-Mora	2022-08-31
Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation	Article	2022-03-14	412	0	0	Yenan Yang	2022-08-31
Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	Article	2022-02-28	369	0	0	Feng Jiang	2022-08-31
Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort	Article	2022-05-12	820	0	0	Haomin Yang, Weimin Ye	2022-08-31
Why Do We Care More About Disease than Health?	Commentary	2022-01-28	1554	0	20	Martin Picard	2022-08-31
Immunosuppression Induced by Brain-Specific HDAC6 Knockdown Improves Aging Performance in Drosophila melanogaster	Article	2022-02-23	613	0	0	Jing-Dong J. Han, Wei Yu	2022-08-31
Metabolic Molecular Diagnosis of Inflammatory Bowel Disease by Synergistical Promotion of Layered Titania Nanosheets with Graphitized Carbon	Article	2022-06-01	371	0	1	Chunhui Deng, Nianrong Sun, Hao Wu	2022-08-31
A Comprehensive Review of High Throughput Phenotyping and Machine Learning for Plant Stress Phenotyping	Review	2022-04-04	2227	4	7	Karansher S. Sandhu	2022-08-31
Emerging Regulatory Mechanisms of N6-Methyladenosine Modification in Cancer Metastasis	Review	2022-05-25	522	0	1	Lunxiu Qin	2022-08-31
Deep Clinical Phenotyping of Parkinson’s Disease: Towards a New Era of Research and Clinical Care	Review	2022-05-21	469	0	1	Jian Wang	2022-08-31
A Hashing-Based Framework for Enhancing Cluster Delineation of High-Dimensional Single-Cell Profiles	Article	2022-05-19	371	0	1	Xianting Ding	2022-08-31
Nascent Proteome and Glycoproteome Reveal the Inhibition Role of ALG1 in Hepatocellular Carcinoma Cell Migration	Article	2022-05-14	481	0	0	Hong Shu, Haojie Lu	2022-08-31
Causal Effect of Genetically Determined Blood Copper Concentrations on Multiple Diseases: A Mendelian Randomization and Phenome-Wide Association Study	Article	2022-05-07	432	0	0	Longman Li, Xiaobo Yang	2022-08-31
Three Novel Mutations of Microphthalmos Identified in Two Chinese Families	Article	2022-05-07	293	0	0	Yi Lu, Tianyu Zheng	2022-08-31
Correction to: Welcome to the Phenomics Journal	Correction	2022-05-06	127	0	0	Li Jin	2022-08-31
Unraveling the Dynamic Integration of Auxin, Brassinosteroid and Gibberellin in Early Shade-Induced Hypocotyl Elongation	Article	2022-02-13	551	0	0	Lin Li	2022-08-31
Optical Imaging of Epigenetic Modifications in Cancer: A Systematic Review	Review	2022-02-07	867	0	0	Yang Du, Jie Tian	2022-08-31
Beyond Mendelian Inheritance: Genetic Buffering and Phenotype Variability	Review	2021-12-27	1226	0	0	Andrea Rossi, Zacharias Kontarakis	2022-08-31
Positron Emission Tomography Molecular Imaging for Phenotyping and Management of Lymphoma	Review	2022-02-24	660	0	0	Hong Zhang, Ali Cahid Civelek, Mei Tian	2022-08-31
Preoperative Characteristics of Ocular Biometry in Children with Unilateral Congenital Cataracts	Article	2022-02-22	284	0	0	Yi Lu	2022-08-31
A Preliminary Study on the Evaluation of Human Sperm Head Morphology with a Domestic Digital Holographic Image System	Article	2022-02-26	469	0	1	Feng Jiang	2022-08-31
Recent Advances in Understanding of Alzheimer’s Disease Progression Through Mass Spectrometry-Based Metabolomics	Review	2022-02-22	1131	0	17	Lingjun Li	2022-08-31
Pan-cancer analysis identifies RNA helicase DDX1 as a prognostic marker	Article	2022-01-19	758	0	0	Jixi Li	2022-08-31
Diurnal Circadian Lighting Accumulation Model: A Predictor of the Human Circadian Phase Shift Phenotype	Article	2022-02-11	770	0	0	Yandan Lin	2022-08-31
Recent Progresses in Electrochemical DNA Biosensors for MicroRNA Detection	Review	2022-01-21	1022	1	0	Xianting Ding	2022-08-31
CYP2C9*3 Increases the Ibuprofen Response of Hemodynamically Significant Patent Ductus Arteriosus in the Infants with Gestational Age of More Than 30 Weeks	Correspondence	2021-11-11	568	0	0	Wenhao Zhou	2022-08-31
Seasonality and Sex-Biased Fluctuation of Birth Weight in Tibetan Populations	Article	2022-01-31	462	0	0	 Ouzhuluobu, Xuebin Qi, Bing Su	2022-08-31
Correction to: N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells657	Correction	2022-01-17	183	0	0	Yun Chen, Zhixin Tian	2022-08-31
Phenome-Wide Association Analysis Reveals Novel Links Between Genetically Determined Levels of Liver Enzymes and Disease Phenotypes	Article	2022-01-11	901	0	0	Xingdong Chen	2022-08-31
Mapping Cell Phenomics with Multiparametric Flow Cytometry Assays	Review	2022-01-09	1393	0	0	Shan Jiang, Jing Wang, Ying Wan	2022-08-31
N-Glycoproteomics Study of Putative N-Glycoprotein Biomarkers of Drug Resistance in MCF-7/ADR Cells	Article	2021-10-28	956	4	0	Yun Chen, Zhixin Tian	2022-08-31
Mental Calculation Drives Reliable and Weak Distant Connectivity While Music Listening Induces Dense Local Connectivity	Article	2021-11-10	1060	0	0	Yuguo Yu	2022-08-31
Strided Self-Supervised Low-Dose CT Denoising for Lung Nodule Classification	Article	2021-10-26	912	4	0	Hongming Shan	2022-08-31
Systematic Genome-Wide Profiles Reveal Alternative Splicing Landscape and Implications of Splicing Regulator DExD-Box Helicase 21 in Aggressive Progression of Adrenocortical Carcinoma	Article	2021-10-29	1018	4	0	Yuanyuan Qu, Hailiang Zhang, Dingwei Ye	2022-08-31
Pseudotime Ordering Single-Cell Transcriptomic of β Cells Pancreatic Islets in Health and Type 2 Diabetes	Article	2021-10-19	834	1	0	Xingxing Kong, Tiemin Liu	2022-08-31
Phenotypes of Cardiovascular Diseases: Current Status and Future Perspectives	Review	2021-08-26	835	0	0	Jiangping Song	2022-08-31
Causal Relationship Between Complement C3, C4, and Nonalcoholic Fatty Liver Disease: Bidirectional Mendelian Randomization Analysis	Article	2021-09-23	657	0	0	Xiaobo Yang	2022-08-31
Origin and Spread of the ALDH2 Glu504Lys Allele	Review	2021-09-20	1198	1	0	Aijun Sun	2022-08-31
Recommendation for Cardiac Magnetic Resonance Imaging-Based Phenotypic Study: Imaging Part	Review	2021-07-28	1686	0	0	Chengyan Wang, He Wang	2022-08-31
Molecular Phenomic Approaches to Deconvolving the Systemic Effects of SARS-CoV-2 Infection and Post-acute COVID-19 Syndrome	Review	2021-07-22	2223	2	34	Jeremy K. Nicholson	2022-08-31
Computational Methods for Prediction of Human Protein-Phenotype Associations: A Review	Review	2021-08-06	1173	1	3	Shanfeng Zhu	2022-08-31
Prediction of Metabolic Disorders Using NMR-Based Metabolomics: The Shanghai Changfeng Study	Article	2021-08-24	886	1	0	Ming-feng Xia, Hui-ru Tang, Xin Gao	2022-08-31
Defense of COVID-19 by Human Organoids	Review	2021-07-14	2329	1	0	Xinhua Lin, Bing Zhao	2022-08-31
Random Penetrance of Mutations Among Individuals: A New Type of Genetic Drift in Molecular Evolution	Article	2021-06-17	784	1	0	Xun Gu	2022-08-31
Molecular Determinants of Antibiotic Resistance in the Costa Rican Pseudomonas aeruginosa AG1 by a Multi-omics Approach: A Review of 10 Years of Study	Review	2021-06-17	2048	1	2	Jose Arturo Molina-Mora	2022-08-31
Genetic Architecture of Childhood Kidney and Urological Diseases in China	Article	2021-07-15	1104	5	0	Jia Rao, Hong Xu	2022-08-31
Effect of Light on Cognitive Function During a Stroop Task Using Functional Near-Infrared Spectroscopy	Article	2021-04-19	1752	1	2	Wei Chen	2022-08-31
Distribution Atlas of COVID-19 Pneumonia on Computed Tomography: A Deep Learning Based Description	Article	2021-05-11	1459	2	1	Shenghong Ju	2022-08-31
Comparison of Metabolic Profiling of Arabidopsis Inflorescences Between Landsberg erecta and Columbia, and Meiosis-Defective Mutants by 1H-NMR Spectroscopy	Article	2021-05-11	1197	0	0	Limin Zhang, Yingxiang Wang	2022-08-31
High-Throughput Phenotyping: A Platform to Accelerate Crop Improvement	Review	2021-05-11	2580	7	1	Neelam R. Yadav	2022-08-31
Welcome to the Phenomics Journal	Editorial	2021-01-11	3688	1	5	Li Jin	2022-08-31
Using Composite Phenotypes to Reveal Hidden Physiological Heterogeneity in High-Altitude Acclimatization in a Chinese Han Longitudinal Cohort	Article	2021-02-22	3772	3	7	Jiucun Wang, Li Jin	2022-08-31
