title	type	time	access	citation	altmetric	correspond_authors	update_time
Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program	Article	2022-08-18	64	0	1	Shouling Wu, An Pan	2022-08-22
Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy	Article	2022-08-16	95	0	0	Xiao-Yong Zhang, Min Wu	2022-08-22
Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks	Article	2022-08-13	144	0	1	Yong Wang	2022-08-22
Report on the 3rd Board Meeting of the International Human Phenome Consortium	Meeting Report	2022-06-22	691	0	1	Mei Tian, Li Jin	2022-08-22
Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	Article	2022-06-22	340	0	1	Sijia Wang, Guangtao Zhai	2022-08-22
Mitochondria as the Essence of Yang Qi in the Human Body	Review	2022-06-16	756	0	1	Junjie Luo, Zhenglong Gu	2022-08-22
Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species	Article	2022-06-15	451	0	1	Manoel Teixeira Souza Júnior	2022-08-22
Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese	Article	2022-06-14	429	0	1	Rong Zeng, Liang Sun, Xu Lin	2022-08-22
Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing	Article	2022-06-11	633	0	1	Libing Shen, Yihua Sun, Yang Zhang	2022-08-22
Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach	Article	2022-06-07	421	1	1	Jose Arturo Molina-Mora	2022-08-22
Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation	Article	2022-03-14	391	0	0	Yenan Yang	2022-08-22
Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	Article	2022-02-28	354	0	0	Feng Jiang	2022-08-22
Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort	Article	2022-05-12	747	0	0	Haomin Yang, Weimin Ye	2022-08-22
