title	type	time	access	citation	altmetric	correspond_authors	update_time
International Nuclear Medicine Consensus on the Clinical Use of Amyloid Positron Emission Tomography in Alzheimer’s Disease	Article	2022-08-26	0	0	0	Mei Tian, Chuantao Zuo, Hong Zhang	2022-08-27
Low Concordance Between Blood Pressures Measured in Periodic Health Examinations and in a Workplace-Based Hypertension Management Program	Article	2022-08-18	119	0	1	Shouling Wu, An Pan	2022-08-27
Cross-sectional Exploration of the Relationship Between Glutamate Abnormalities and Tic Disorder Severity Using Proton Magnetic Resonance Spectroscopy	Article	2022-08-16	126	0	0	Xiao-Yong Zhang, Min Wu	2022-08-27
Human Genetic Variants Associated with COVID-19 Severity are Enriched in Immune and Epithelium Regulatory Networks	Article	2022-08-13	220	0	2	Yong Wang	2022-08-27
Report on the 3rd Board Meeting of the International Human Phenome Consortium	Meeting Report	2022-06-22	718	0	1	Mei Tian, Li Jin	2022-08-27
Palmprint Phenotype Feature Extraction and Classification Based on Deep Learning	Article	2022-06-22	363	0	1	Sijia Wang, Guangtao Zhai	2022-08-27
Mitochondria as the Essence of Yang Qi in the Human Body	Review	2022-06-16	776	0	1	Junjie Luo, Zhenglong Gu	2022-08-27
Multi-omics Analysis of Young Portulaca oleracea L. Plants’ Responses to High NaCl Doses Reveals Insights into Pathways and Genes Responsive to Salinity Stress in this Halophyte Species	Article	2022-06-15	467	0	1	Manoel Teixeira Souza Júnior	2022-08-27
Plasma Lipidomic Subclasses and Risk of Hypertension in Middle-Aged and Elderly Chinese	Article	2022-06-14	446	0	1	Rong Zeng, Liang Sun, Xu Lin	2022-08-27
Identification of Germline Mutations in East-Asian Young Never-Smokers with Lung Adenocarcinoma by Whole-Exome Sequencing	Article	2022-06-11	647	0	1	Libing Shen, Yihua Sun, Yang Zhang	2022-08-27
Clinical Profiles at the Time of Diagnosis of SARS-CoV-2 Infection in Costa Rica During the Pre-vaccination Period Using a Machine Learning Approach	Article	2022-06-07	444	2	1	Jose Arturo Molina-Mora	2022-08-27
Global Quantitative Proteomics Analysis Reveals the Downstream Signaling Networks of Msx1 and Msx2 in Myoblast Differentiation	Article	2022-03-14	405	0	0	Yenan Yang	2022-08-27
Basic Phenotyping of Male Fertility from 2019 to 2020 at the Human Sperm Bank of Fudan University	Article	2022-02-28	361	0	0	Feng Jiang	2022-08-27
Biomarkers and Disease Trajectories Influencing Women’s Health: Results from the UK Biobank Cohort	Article	2022-05-12	792	0	0	Haomin Yang, Weimin Ye	2022-08-27
Why Do We Care More About Disease than Health?	Commentary	2022-01-28	1540	0	20	Martin Picard	2022-08-27
Immunosuppression Induced by Brain-Specific HDAC6 Knockdown Improves Aging Performance in Drosophila melanogaster	Article	2022-02-23	604	0	0	Jing-Dong J. Han, Wei Yu	2022-08-27
Metabolic Molecular Diagnosis of Inflammatory Bowel Disease by Synergistical Promotion of Layered Titania Nanosheets with Graphitized Carbon	Article	2022-06-01	359	0	1	Chunhui Deng, Nianrong Sun, Hao Wu	2022-08-27
